vocabPrefix,domain,uri version
eppl,Methods,https://lov.linkeddata.es/dataset/lov/vocabs/eppl/versions/2019-03-06.n3
eqp,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/eqp/versions/2018-03-28.n3
eqp,Transport,https://lov.linkeddata.es/dataset/lov/vocabs/eqp/versions/2018-03-28.n3
eqp,Travel,https://lov.linkeddata.es/dataset/lov/vocabs/eqp/versions/2018-03-28.n3
essglobal,Society,https://lov.linkeddata.es/dataset/lov/vocabs/essglobal/versions/2015-05-04.n3
event,Events,https://lov.linkeddata.es/dataset/lov/vocabs/event/versions/2007-10-25.n3
ex,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/ex/versions/2007-12-13.n3
exif,Image,https://lov.linkeddata.es/dataset/lov/vocabs/exif/versions/2003-08-19.n3
ext,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/ext/versions/2014-08-28.n3
fabio,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/fabio/versions/2019-02-19.n3
faldo,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/faldo/versions/2012-09-07.n3
fea,Government,https://lov.linkeddata.es/dataset/lov/vocabs/fea/versions/2015-06-26.n3
fiesta-iot,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/fiesta-iot/versions/2017-02-09.n3
foaf,People,https://lov.linkeddata.es/dataset/lov/vocabs/foaf/versions/2014-01-14.n3
foio,Events,https://lov.linkeddata.es/dataset/lov/vocabs/foio/versions/2016-07-01.n3
food,Food,https://lov.linkeddata.es/dataset/lov/vocabs/food/versions/2013-09-24.n3
fowl,Food,https://lov.linkeddata.es/dataset/lov/vocabs/fowl/versions/2013-02-23.n3
frad,FRBR,https://lov.linkeddata.es/dataset/lov/vocabs/frad/versions/2015-01-11.n3
frapo,Academy,https://lov.linkeddata.es/dataset/lov/vocabs/frapo/versions/2014-01-31.n3
frappe,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/frappe/versions/2015-04-28.n3
frappe,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/frappe/versions/2015-04-28.n3
frbr,FRBR,https://lov.linkeddata.es/dataset/lov/vocabs/frbr/versions/2009-05-16.n3
frbre,FRBR,https://lov.linkeddata.es/dataset/lov/vocabs/frbre/versions/2005-08-10.n3
frbrer,FRBR,https://lov.linkeddata.es/dataset/lov/vocabs/frbrer/versions/2015-07-14.n3
fresnel,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/fresnel/versions/2015-01-11.n3
g50k,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/g50k/versions/2015-01-11.n3
game,Games,https://lov.linkeddata.es/dataset/lov/vocabs/game/versions/2014-02-17.n3
gc,Government,https://lov.linkeddata.es/dataset/lov/vocabs/gc/versions/2009-08-24.n3
gci,Society,https://lov.linkeddata.es/dataset/lov/vocabs/gci/versions/2015-04-15.n3
gcon,People,https://lov.linkeddata.es/dataset/lov/vocabs/gcon/versions/2018-11-25.n3
gcon,Society,https://lov.linkeddata.es/dataset/lov/vocabs/gcon/versions/2018-11-25.n3
gd,Government,https://lov.linkeddata.es/dataset/lov/vocabs/gd/versions/2011-11-21.n3
gdprov,People,https://lov.linkeddata.es/dataset/lov/vocabs/gdprov/versions/2018-04-06.n3
gdprov,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/gdprov/versions/2018-04-06.n3
gdprov,Society,https://lov.linkeddata.es/dataset/lov/vocabs/gdprov/versions/2018-04-06.n3
gdprt,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/gdprt/versions/2018-07-03.n3
gdprt,People,https://lov.linkeddata.es/dataset/lov/vocabs/gdprt/versions/2018-07-03.n3
gdprt,Society,https://lov.linkeddata.es/dataset/lov/vocabs/gdprt/versions/2018-07-03.n3
gen,People,https://lov.linkeddata.es/dataset/lov/vocabs/gen/versions/2015-01-11.n3
geo,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/geo/versions/2009-04-20.n3
geod,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/geod/versions/2012-10-11.n3
geof,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/geof/versions/2004-02-20.n3
geofla,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/geofla/versions/2015-01-11.n3
geom,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/geom/versions/2015-01-11.n3
geop,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/geop/versions/2011-01-18.n3
geosp,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/geosp/versions/2012-10-02.n3
gf,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/gf/versions/2013-11-14.n3
gm,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/gm/versions/2013-11-14.n3
gml,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/gml/versions/2012-09-11.n3
gn,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/gn/versions/2012-10-29.n3
gndo,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/gndo/versions/2019-02-12.n3
gold,Vocabularies,https://lov.linkeddata.es/dataset/lov/vocabs/gold/versions/2010-01-01.n3
gov,Society,https://lov.linkeddata.es/dataset/lov/vocabs/gov/versions/2015-07-29.n3
gov,Time,https://lov.linkeddata.es/dataset/lov/vocabs/gov/versions/2015-07-29.n3
gr,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/gr/versions/2011-10-01.n3
